21, 0, 770.983, 1997.98, 21, 21, 0, 0, 0, 20, 1, 
21, 1, 970.983, 1997.98, 21, 21, 0, 0, 0, 20, 1, 
21, 2, 1170.98, 1997.98, 21, 21, 0, 0, 0, 20, 1, 
21, 3, 1370.98, 1997.98, 21, 21, 0, 0, 0, 20, 1, 
21, 4, 1570.98, 1997.98, 21, 21, 0, 0, 0, 20, 1, 
21, 5, 1770.98, 1997.98, 21, 21, 0, 0, 0, 20, 1, 
21, 6, 1970.98, 1997.98, 21, 21, 0, 0, 0, 20, 1, 
21, 7, 770.983, 1120.98, 21, 21, 0, 0, 0, 20, 1, 
21, 8, 970.984, 1120.98, 21, 21, 0, 0, 0, 20, 1, 
21, 9, 1170.98, 1120.98, 21, 21, 0, 0, 0, 20, 1, 
21, 10, 1370.98, 1120.98, 21, 21, 0, 0, 0, 20, 1, 
21, 11, 1570.98, 1120.98, 21, 21, 0, 0, 0, 20, 1, 
21, 12, 1770.98, 1120.98, 21, 21, 0, 0, 0, 20, 1, 
21, 13, 1970.98, 1120.98, 21, 21, 0, 0, 0, 20, 1, 
21, 14, 770.984, 1320.98, 21, 21, 0, 0, 0, 20, 1, 
21, 15, 970.984, 1320.98, 21, 21, 0, 0, 0, 20, 1, 
21, 16, 1170.98, 1320.98, 21, 21, 0, 0, 0, 20, 1, 
21, 17, 1370.98, 1320.98, 21, 21, 0, 0, 0, 20, 1, 
21, 18, 1570.98, 1320.98, 21, 21, 0, 0, 0, 20, 1, 
21, 19, 1770.98, 1320.98, 21, 21, 0, 0, 0, 20, 1, 
21, 20, 750, 1200, 0, 0, 0, 0, 0, 20, 1, 
