30, 0, 770.983, 1997.98, 21, 21, 0, 0, 0, 8, 1, 
30, 1, 970.983, 1997.98, 21, 21, 0, 0, 0, 8, 1, 
30, 2, 1170.98, 1997.98, 21, 21, 0, 0, 0, 8, 1, 
30, 3, 1370.98, 1997.98, 21, 21, 0, 0, 0, 8, 1, 
30, 4, 1570.98, 1997.98, 21, 21, 0, 0, 0, 8, 1, 
30, 5, 1770.98, 1997.98, 21, 21, 0, 0, 0, 8, 1, 
30, 6, 1970.98, 1997.98, 21, 21, 0, 0, 0, 8, 1, 
30, 7, 770.983, 1120.98, 21, 21, 0, 0, 0, 8, 1, 
30, 8, 750, 1200, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 
