p,rho_a,system,variant,N,M1_MCC,M1_ACC,elapsed_s,status
60,0,shieldgh_lite,1,20,0.18,54.11,303.1,ok
60,0,b3_rf,1,20,-0.10,48.57,307.8,ok
60,20,shieldgh_full,1,20,0.72,84.46,303.3,ok
60,0,shieldgh_full,1,20,0.02,51.25,335.7,ok
60,0,b1_malik,1,20,0.17,53.75,336.8,ok
40,100,b3_rf,1,20,0.77,89.82,344.9,ok
60,20,shieldgh_lite,1,20,0.76,87.14,327.3,ok
60,20,b1_malik,1,20,0.71,83.57,342.4,ok
60,20,b3_rf,1,20,0.73,84.64,308.4,ok
60,40,shieldgh_full,1,20,0.88,93.75,305.6,ok
60,20,b2_vcbc,1,20,0.71,84.29,334.0,ok
60,40,shieldgh_lite,1,20,0.85,91.79,321.6,ok
60,60,b1_malik,1,20,0.76,86.61,273.2,ok
60,40,b2_vcbc,1,20,0.83,91.25,308.5,ok
60,40,b1_malik,1,20,0.76,86.79,329.1,ok
60,60,shieldgh_full,1,20,0.92,95.71,307.3,ok
60,60,shieldgh_lite,1,20,0.83,90.89,305.0,ok
60,40,b3_rf,1,20,0.85,91.79,318.2,ok
60,60,b2_vcbc,1,20,0.81,90.18,298.8,ok
60,60,b3_rf,1,20,0.83,90.71,299.8,ok
60,80,shieldgh_full,1,20,0.93,96.25,299.5,ok
60,80,b3_rf,1,20,0.82,90.54,280.3,ok
60,80,b2_vcbc,1,20,0.81,89.82,284.1,ok
60,100,shieldgh_lite,1,20,0.70,83.39,264.1,ok
60,80,shieldgh_lite,1,20,0.82,90.54,310.0,ok
60,100,b1_malik,1,20,0.71,83.75,279.7,ok
60,100,b2_vcbc,1,20,0.71,84.11,286.7,ok
60,100,shieldgh_full,1,20,0.92,96.07,311.8,ok
60,100,b3_rf,1,20,0.71,83.57,288.5,ok
60,80,b1_malik,1,20,0.75,85.89,341.7,ok
80,0,shieldgh_full,1,20,0.21,52.68,323.5,ok
80,0,shieldgh_lite,1,20,0.17,50.00,287.2,ok
80,0,b3_rf,1,20,0.14,49.11,286.5,ok
80,0,b1_malik,1,20,0.16,49.64,297.8,ok
80,0,b2_vcbc,1,20,0.17,51.07,305.4,ok
80,20,shieldgh_full,1,20,0.68,81.61,305.1,ok
80,20,shieldgh_lite,1,20,0.71,83.21,305.0,ok
80,20,b1_malik,1,20,0.62,77.50,302.2,ok
80,40,shieldgh_full,1,20,0.80,89.11,304.3,ok
80,20,b2_vcbc,1,20,0.69,82.50,312.5,ok
80,20,b3_rf,1,20,0.71,83.57,319.1,ok
80,40,shieldgh_lite,1,20,0.81,89.82,336.1,ok
80,60,shieldgh_full,1,20,0.87,93.39,268.9,ok
80,40,b1_malik,1,20,0.76,86.79,290.7,ok
80,40,b2_vcbc,1,20,0.81,89.64,294.3,ok
80,40,b3_rf,1,20,0.80,89.11,291.9,ok
80,60,shieldgh_lite,1,20,0.83,90.54,294.0,ok
80,60,b2_vcbc,1,20,0.81,90.00,292.1,ok
80,80,shieldgh_full,1,20,0.87,93.21,291.4,ok
80,80,b1_malik,1,20,0.69,82.32,282.4,ok
80,60,b1_malik,1,20,0.70,82.86,335.5,ok
80,60,b3_rf,1,20,0.82,90.18,319.1,ok
80,80,shieldgh_lite,1,20,0.79,88.21,302.1,ok
80,80,b2_vcbc,1,20,0.74,85.71,312.5,ok
80,100,b1_malik,1,20,0.65,79.64,260.2,ok
80,100,shieldgh_full,1,20,0.85,91.96,278.1,ok
80,100,shieldgh_lite,1,20,0.65,79.46,288.4,ok
80,80,b3_rf,1,20,0.78,88.04,303.0,ok
80,100,b2_vcbc,1,20,0.65,80.00,295.4,ok
80,100,b3_rf,1,20,0.65,79.29,291.1,ok
100,0,shieldgh_lite,1,20,0.17,50.00,284.8,ok
100,0,b3_rf,1,20,0.22,52.14,303.3,ok
100,0,shieldgh_full,1,20,0.21,52.68,323.5,ok
100,0,b1_malik,1,20,0.16,49.64,323.0,ok
100,0,b2_vcbc,1,20,0.17,51.07,330.0,ok
100,20,shieldgh_full,1,20,0.68,81.93,339.0,ok
100,20,b1_malik,1,20,0.65,79.46,308.4,ok
100,20,shieldgh_lite,1,20,0.71,83.21,315.7,ok
100,40,shieldgh_full,1,20,0.85,92.32,265.7,ok
100,20,b2_vcbc,1,20,0.69,82.50,305.0,ok
100,20,b3_rf,1,20,0.71,83.21,315.8,ok
100,40,b2_vcbc,1,20,0.81,90.00,290.1,ok
100,40,b1_malik,1,20,0.76,86.79,322.4,ok
100,40,shieldgh_lite,1,20,0.81,89.82,352.8,ok
100,60,shieldgh_full,1,20,0.87,93.39,294.0,ok
100,40,b3_rf,1,20,0.81,89.82,323.0,ok
100,60,shieldgh_lite,1,20,0.83,90.54,319.2,ok
100,60,b1_malik,1,20,0.70,82.86,262.3,ok
100,60,b2_vcbc,1,20,0.81,90.00,298.7,ok
100,60,b3_rf,1,20,0.80,88.93,296.6,ok
100,80,shieldgh_full,1,20,0.87,93.04,306.6,ok
100,80,shieldgh_lite,1,20,0.78,88.04,303.8,ok
100,80,b1_malik,1,20,0.69,82.14,300.9,ok
100,80,b2_vcbc,1,20,0.74,85.71,269.0,ok
100,100,shieldgh_full,1,20,0.85,91.96,274.6,ok
100,80,b3_rf,1,20,0.78,88.04,298.8,ok
100,100,b1_malik,1,20,0.65,79.64,267.2,ok
100,100,shieldgh_lite,1,20,0.65,79.46,294.9,ok
100,100,b3_rf,1,20,0.65,79.46,273.7,ok
100,100,b2_vcbc,1,20,0.65,80.00,285.9,ok
